日期,平台,岗位名称,公司名称,公司类型,城市,薪资范围,经验要求,学历要求,岗位链接,公司工商验证,招聘信息验证,备注,是否新增
2026-08-17,LinkedIn,Senior Product Designer,Duolingo,外企（纳斯达克上市/全球知名教育科技品牌）,北京,"804,949-1,088,971元/年",未披露（高级岗位）,未披露,https://cn.linkedin.com/jobs/view/senior-product-designer-at-duolingo-4448879685,Duolingo投资者关系官网确认公司于纳斯达克上市（DUOL），并于2026-02-27提交2025年度10-K；官方披露2025年日活超过5000万、年度bookings首次超过10亿美元，符合上市且全球知名品牌门槛。,2026-08-17 LinkedIn公开职位页显示该北京全职高级岗位发布约1周、仍有申请入口，雇主披露年薪804949-1088971元并含股权激励；完整申请需登录。,高级冲刺岗位，年限未明示；负责移动App、网站与品牌触点的端到端产品设计、原型、设计语言和跨团队推进。对C端移动产品、动效、品牌和英文作品集要求高，4.5年需用规模化上线和主导项目证明资深度。,是
2026-08-17,LinkedIn,UX Designer ID214289,梅赛德斯-奔驰租赁有限公司,外企（全球知名汽车品牌/上市/10000人+）,北京,20-40k/月,3年以上,本科及以上,https://cn.linkedin.com/jobs/view/ux-designer-id214289-at-%E6%A2%85%E8%B5%9B%E5%BE%B7%E6%96%AF-%E5%A5%94%E9%A9%B0%E7%A7%9F%E8%B5%81%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8-4450023702,梅赛德斯-奔驰集团官网披露集团在法兰克福和斯图加特上市，2025年末约164000名员工；岗位主体属于梅赛德斯-奔驰在华体系，符合全球知名品牌及万人以上外企门槛。,2026-08-17 LinkedIn公开职位页显示该北京全职岗位发布约1周、仍有申请入口，并由雇主给出20-40k/月；完整申请需登录。页面注明职位来源于猎聘。,与4.5年经验高度匹配，负责MBUX车载数字仪表、车辆功能、ADAS及App的UX/UI；要求Figma、Adobe、英文沟通和作品集，车载嵌入式、动效或3D经验加分。需登录查看和投递，并确认最终招聘与合同主体。,是
2026-08-17,LinkedIn,品牌视觉设计师（AI业务）,美团,稳定民企（港股上市/100000人+）,北京,薪资面议,3-5年以上,未披露,https://cn.linkedin.com/jobs/view/%E5%93%81%E7%89%8C%E8%A7%86%E8%A7%89%E8%AE%BE%E8%AE%A1%E5%B8%88%EF%BC%88ai%E4%B8%9A%E5%8A%A1%EF%BC%89-at-meituan-4443132059,美团投资者关系官网持续披露港交所上市公司信息（03690）及2025年年报；2024年官方年报披露员工109185人，符合上市且万人以上稳定民企门槛。,2026-08-17 LinkedIn公开职位页显示该北京全职岗位发布约3周、仍有申请入口；岗位要求3-5年以上品牌或视觉设计经验，投递需附作品集，完整投递需登录。,与4.5年经验高度匹配，属于品牌视觉与产品视觉交叉岗位，负责AI业务品牌系统、插画组件、UI、动效、数据可视化及设计规范；不是纯产品UI，但适合视觉强、会设计系统与多模态表达者。,是
2026-08-17,公司官网招聘页,AI产品设计师-飞书多维表格,字节跳动,稳定民企（全球知名科技企业/150000人+）,北京,薪资面议,未披露,本科及以上,https://jobs.bytedance.com/experienced/position/7594684664071129397/detail,字节跳动集团官网披露公司成立于2012年，旗下包括抖音、TikTok、飞书、PICO等产品，并披露全球员工超过150000人、分布于近120个城市，符合万人以上稳定知名民企门槛。,2026-08-17 字节跳动官方社招API返回该北京正式岗位，职位ID 7594684664071129397，官网详情页可申请；岗位分类为交互设计，负责飞书多维表格AI设计全流程。,标题为产品设计师但职责覆盖UX、视觉、用户研究、交互原型和AI工具产品，属于目标方向；年限未明示，有AI软件、B端平台、BI或国际化项目者优先。,是
2026-08-17,公司官网招聘页,UI设计师-PICO,字节跳动,稳定民企（全球知名科技企业/150000人+）,北京,薪资面议,3年以上（相关平台经验优先）,未披露,https://jobs.bytedance.com/experienced/position/7553963506556471570/detail,字节跳动集团官网披露公司成立于2012年，旗下包括抖音、TikTok、飞书、PICO等产品，并披露全球员工超过150000人、分布于近120个城市，符合万人以上稳定知名民企门槛。,2026-08-17 字节跳动官方社招API返回该北京正式岗位，职位ID 7553963506556471570，官网详情页可申请；要求3年以上操作系统、平台、XR或新硬件平台设计经验者优先。,与4.5年经验匹配，工作兼顾UI、交互、3D视觉和方案验证；强依赖XR/新硬件场景及3D表现能力，传统App/Web作品集需补充空间交互或3D案例。,是
2026-08-17,公司官网招聘页,UX设计师-AI创新业务,字节跳动,稳定民企（全球知名科技企业/150000人+）,北京,薪资面议,未披露,设计相关背景优先,https://jobs.bytedance.com/experienced/position/7538348328417986834/detail,字节跳动集团官网披露公司成立于2012年，旗下包括抖音、TikTok、飞书、PICO等产品，并披露全球员工超过150000人、分布于近120个城市，符合万人以上稳定知名民企门槛。,2026-08-17 字节跳动官方社招API返回该北京正式岗位，职位ID 7538348328417986834，官网详情页可申请；职责为AI产品和系统级软件交互设计、前瞻研究与概念设计。,年限未明示，适合有系统级复杂产品、移动端交互与AI产品案例的4.5年设计师；职位强调抽象复杂逻辑、前瞻性和高完成度概念设计。,是
2026-08-17,公司官网招聘页,UX设计师-TikTok直播（北京）,字节跳动,稳定民企（全球知名科技企业/150000人+）,北京,薪资面议,未披露（需互联网设计经验）,未披露,https://jobs.bytedance.com/experienced/position/7623306522723338549/detail,字节跳动集团官网披露公司成立于2012年，旗下包括抖音、TikTok、飞书、PICO等产品，并披露全球员工超过150000人、分布于近120个城市，符合万人以上稳定知名民企门槛。,2026-08-17 字节跳动官方社招API返回该北京正式岗位，职位ID 7623306522723338549，官网详情页可申请；负责TikTok国际化直播活动的交互体验设计。,适合4.5年且有活动全链路、国际化产品和数据验证经验者；岗位要求英语流畅，并偏好留学或国际化设计工作背景。,是
2026-08-17,公司官网招聘页,UX设计师-飞书多维表格,字节跳动,稳定民企（全球知名科技企业/150000人+）,北京,薪资面议,未披露（需独立负责项目）,本科及以上,https://jobs.bytedance.com/experienced/position/7478606986830235912/detail,字节跳动集团官网披露公司成立于2012年，旗下包括抖音、TikTok、飞书、PICO等产品，并披露全球员工超过150000人、分布于近120个城市，符合万人以上稳定知名民企门槛。,2026-08-17 字节跳动官方社招API返回该北京正式岗位，职位ID 7478606986830235912，官网详情页可申请；职责覆盖Web、iOS、iPadOS和Android全流程体验设计。,年限未明示，但4.5年且有成熟B端/SaaS、BI工具、支付或国际化项目经验者值得重点尝试；作品集应突出复杂信息架构、用户研究和多端设计系统。,是
2026-08-17,公司官网招聘页,UX设计师（B端）-抖音电商,字节跳动,稳定民企（全球知名科技企业/150000人+）,北京,薪资面议,未披露（B端经验优先）,未披露,https://jobs.bytedance.com/experienced/position/7501688267952687368/detail,字节跳动集团官网披露公司成立于2012年，旗下包括抖音、TikTok、飞书、PICO等产品，并披露全球员工超过150000人、分布于近120个城市，符合万人以上稳定知名民企门槛。,2026-08-17 字节跳动官方社招API返回该北京正式岗位，职位ID 7501688267952687368，官网详情页可申请；职责覆盖运营平台从策略到执行、用户研究、数据分析和上线复盘。,年限未明示，但与4.5年B端设计师匹配度高；作品集应突出复杂平台流程、PC/移动端规范、访谈与数据驱动迭代。,是
2026-08-17,公司官网招聘页,产品设计师 - Coze,字节跳动,稳定民企（全球知名科技企业/150000人+）,北京,薪资面议,3年以上,本科及以上,https://jobs.bytedance.com/experienced/position/7485255084789205255/detail,字节跳动集团官网披露公司成立于2012年，旗下包括抖音、TikTok、飞书、PICO等产品，并披露全球员工超过150000人、分布于近120个城市，符合万人以上稳定知名民企门槛。,2026-08-17 字节跳动官方社招API返回该北京正式岗位，职位ID 7485255084789205255，官网详情页可申请；要求本科及以上、3年以上用户体验设计经验。,标题为产品设计师，但正文明确负责扣子AI Agent平台的UI/UX、Web与移动端、设计系统和从概念到落地全流程，属于可解释边界岗位；与4.5年经验高度匹配，有AI/AIGC、SaaS或复杂工具产品案例者优先。,是
