日期,平台,岗位名称,公司名称,公司类型,城市,薪资范围,经验要求,学历要求,岗位链接,公司工商验证,招聘信息验证,备注,是否新增
2026-08-13,公司官网招聘页,高级运营设计师-活动运营设计（J97076）,百度（Baidu）,稳定民企（纳斯达克/港股上市、10000人+）,北京,薪资面议,3-5年或5年以上,未披露,https://talent.baidu.com/jobs/detail/SOCIAL/f66154f6-df92-40c8-b18f-959029a14aeb,百度投资者关系官网可核验公司在纳斯达克及香港联交所上市，并持续披露2026年财报与监管文件；百度为员工规模超过万人的稳定上市科技企业。,2026-08-13 百度官方招聘详情页可直接访问并显示“申请职位”，岗位为PSIG北京高级运营设计师、招聘1人、发布日期2026-05-18；职责覆盖百度文库和网盘大型活动、品牌IP、AIGC及3D设计。,与4.5年经验高度匹配，但属于运营视觉边界岗位而非纯产品UI/UX；适合有大型线上活动、品牌IP、字体排版、3D或AIGC案例者。作品集需随简历提交，投递需登录百度招聘账号。,是
2026-08-13,BOSS直聘,UI设计师,字节跳动,其他民企（独角兽）,北京,面议,3-5年,本科,https://www.zhipin.com/job_detail/a62c28275bf9a2b71XZ52tm7E1RT.html,已验证（未上市独角兽）,已验证（BOSS直聘官方页面）,大厂直招,否
2026-08-13,BOSS直聘,ux设计师-豆包爱学,字节跳动,其他民企（独角兽）,北京,面议,3-5年,本科,https://www.zhipin.com/job_detail/378bb740725734f803x72tW5EVBW.html,已验证（未上市独角兽）,已验证（BOSS直聘官方页面）,大厂直招 AI教育方向,否
2026-08-13,BOSS直聘,高级交互设计,旷视MEGVII,其他民企（独角兽）,北京,需登录查看,需登录查看,需登录查看,https://www.zhipin.com/zhaopin/21fc426d093faddc0ndy2Nm4FQ~~/,已验证（未上市独角兽 AI赛道）,已验证（BOSS直聘官方页面）,AI独角兽 需登录查看详情,否
2026-08-13,BOSS直聘,语音对话交互,阿里巴巴集团,上市民企,北京,需登录查看,需登录查看,需登录查看,https://www.zhipin.com/zhaopin/1bfcd98940f50a733nxz3tu7/,已验证（纽交所/港交所上市BABA）,已验证（BOSS直聘官方页面）,大厂直招 语音交互方向 需登录查看,否
2026-08-13,LinkedIn,交互设计师-AI创新业务,字节跳动,其他民企（独角兽）,北京,面议,5年以上,本科,https://cn.linkedin.com/jobs/view/交互设计师-ai创新业务-at-bytedance-4081999226,已验证（未上市独角兽）,已验证（LinkedIn官方页面）,大厂直招 AI创新方向,否
2026-08-13,公司官网招聘页,视觉设计师（J11393）,小度科技（百度）,稳定民企（百度旗下/纳斯达克及港股上市体系、10000人+）,北京,薪资面议,2年以上,本科及以上,https://talent.baidu.com/jobs/detail/SOCIAL/7b49bc9c-6516-4ee6-95d1-d7680852a6fa,小度科技为百度旗下智能生活与硬件业务品牌；百度投资者关系官网可核验其纳斯达克及香港联交所上市公司体系与万人以上规模。,2026-08-11 百度官方招聘详情页可直接访问，显示小度科技北京视觉设计师岗位、招聘若干、发布日期2026-07-21；要求本科及以上、2年以上互联网经历，页面提供登录入口。,经验门槛低于4.5年但职责包含产品视觉、设计走查、用户反馈与AI大模型设计实践，匹配度较高；有OS、多端规范、AE/Blender或智能硬件案例者优先。投递需登录百度招聘账号。,否
2026-08-13,公司官网招聘页,UI设计师（J103371）,百度（Baidu）,稳定民企（纳斯达克/港股上市、10000人+）,北京,薪资面议,1年以上,本科及以上,https://talent.baidu.com/jobs/detail/SOCIAL/8972f75c-6815-4cfe-8793-ad3650c9fac9,百度投资者关系官网确认公司在纳斯达克（BIDU）及香港联交所（9888）上市，总部位于北京；官网披露截至2025年末约有33500名全职员工，符合上市且万人以上稳定民企门槛。,2026-08-12 百度官方招聘详情页可直接访问（HTTP 200），显示PSIG北京UI设计师岗位、招聘1人、发布日期2026-07-21；职责覆盖百度网盘与文库的AI应用、产品营销、商业付费和互动玩法设计，页面提供登录入口。,明示门槛为1年以上，低于候选人的4.5年经验，但复杂链路、体系化UI、商业转化与AIGC工作流具有较高匹配度；建议投递前确认职级和薪资带宽，作品集突出复杂产品链路、增长设计及Figma/AE/AIGC实践。投递需登录百度招聘账号。,否
2026-08-13,公司官网招聘页,海外AI赛道——高级用户体验设计师（J97181）,百度（Baidu）,稳定民企（纳斯达克/港股上市、10000人+）,北京,薪资面议,3年以上,本科及以上,https://talent.baidu.com/jobs/detail/SOCIAL/37e99a23-6bef-4447-8fd5-54c9e691e54b,百度投资者关系官网确认公司在纳斯达克及香港联交所上市，总部位于北京；官网披露员工规模超过万人，符合稳定上市万人企业门槛。,2026-08-11 百度官方招聘详情页可直接访问，显示PSIG北京海外AI赛道高级用户体验设计师岗位、招聘2人、发布日期2026-07-21；要求本科及以上、3年以上视觉设计经验。,与4.5年经验高度匹配，职责同时覆盖UX调研、UI、动效与海外用户体验；有海外项目、AI产品或韩语/西语能力者优势明显。投递需登录百度招聘账号。,否
2026-08-13,公司官网招聘页,高级UI设计师（J96638）,百度（Baidu）,稳定民企（纳斯达克/港股上市、10000人+）,北京,薪资面议,未披露（高级岗位）,本科及以上,https://talent.baidu.com/jobs/detail/SOCIAL/67d3cc00-f348-453b-be53-704954dedd3c,百度投资者关系官网确认公司在纳斯达克（BIDU）及香港联交所（9888）上市，总部位于北京；官网披露截至2025年末约有33500名全职员工，符合上市且万人以上稳定民企门槛。,2026-08-11 百度官方招聘详情页可直接访问，显示PSIG北京高级UI设计师岗位、招聘1人、发布日期2026-07-21；职责聚焦百度AI产品界面、创新交互与视觉表现、设计系统和动效，页面提供登录后投递入口。,官方渠道新增收录；未明示工作年限，但岗位等级为高级，4.5年且具备AI产品、设计系统、Figma与AE动效案例者值得重点尝试。投递需登录百度招聘账号。,否
2026-08-13,公司官网招聘页,高级UI设计师（J99117）,百度（Baidu）,稳定民企（纳斯达克/港股上市、10000人+）,北京,薪资面议,未披露（高级岗位）,本科及以上,https://talent.baidu.com/jobs/detail/SOCIAL/8499e0ab-b8d6-42cf-a316-8e824382740f,百度投资者关系官网确认公司在纳斯达克及香港联交所上市，总部位于北京；官网披露员工规模超过万人，符合稳定上市万人企业门槛。,2026-08-11 百度官方招聘详情页可直接访问，显示PSIG北京高级UI设计师岗位、招聘1人、发布日期2026-07-21；职责覆盖AI产品界面、创新交互、设计系统、动效与复杂项目统筹，页面提供登录入口。,与J96638同属PSIG但职责更强调主导设计体系与复杂项目管理，适合作为4.5年经验的冲刺岗位；作品集应突出AI产品、设计系统、跨团队推进与Figma/AE动效。投递需登录百度招聘账号。,否
2026-08-13,智联招聘,软件设计师,中企云链,央企,北京,15-25k·13薪,3-5年,本科,https://www.zhaopin.com/jobdetail/CC660023380J40869238807.htm,已验证（央企背景 供应链金融平台）,已验证（智联官方页面）,央企背景 13薪 非常匹配4.5年经验,否
2026-08-13,智联招聘,UI设计师,中国软件,央企,北京,5-10k,经验不限,本科,https://www.zhaopin.com/jobdetail/CC120519400J40864569907.htm,已验证（中国电子信息产业集团央企子公司）,已验证（智联官方页面）,央企背景 薪资偏低 稳定,否
2026-08-13,智联招聘,UI设计师(国企),亦庄国际人力,国企,北京,15-20k,3-5年,本科,https://www.zhaopin.com/jobdetail/CC189963810J40820839411.htm,已验证（北京亦庄国际人力资源 国企）,已验证（智联官方页面）,国企 B端产品 非常匹配4.5年经验,否
2026-08-13,智联招聘,UE/UX设计岗(AI Agent平台),京东方科技集团,上市国企,北京,15-25k,5-10年,本科,https://www.zhaopin.com/jobdetail/CC161678510J40877632914.htm,已验证（深交所上市000725 国企）,已验证（智联官方页面）,上市国企 显示龙头 AI Agent方向,否
2026-08-13,智联招聘,座舱体验设计,京东集团,上市民企,北京,20-40k·20薪,5-10年,本科,https://www.zhaopin.com/jobdetail/CC192921310J40870676509.htm,已验证（纳斯达克JD/港交所9618）,已验证（智联官方页面）,上市大厂 20薪 座舱设计,否
