日期,平台,岗位名称,公司名称,公司类型,城市,薪资范围,经验要求,学历要求,岗位链接,公司工商验证,招聘信息验证,备注,是否新增
2026-08-10,猎聘,资深UI设计师,Baidu,上市民企,北京,20-35k·16薪,3-5年,本科,https://www.liepin.com/job/1951447307.shtml,已验证（纳斯达克/港交所上市）,已验证（猎聘官方页面）,大厂直招 非常匹配4.5年经验,是
2026-08-10,猎聘,UI视觉设计师,石头科技,上市民企,北京,20-35k·16薪,3年以上,本科,https://www.liepin.com/job/1980846645.shtml,已验证（科创板上市688169）,已验证（猎聘官方页面）,科创板上市 视觉方向 适合4.5年经验,是
2026-08-10,猎聘,资深UI设计师,石头科技,上市民企,北京,20-30k·16薪,4年以上,本科,https://www.liepin.com/job/1970761731.shtml,已验证（科创板上市688169）,已验证（猎聘官方页面）,科创板上市 非常匹配4.5年经验,是
2026-08-10,猎聘,资深视觉设计师,小米,上市民企,北京,35-65k·14薪,5年以上,本科,https://www.liepin.com/job/1983737243.shtml,已验证（港交所上市01810）,已验证（猎聘官方页面）,大厂直招 视觉方向 500强,是
2026-08-10,猎聘,智驾HMI用户体验设计,小米,上市民企,北京,20-40k,3年以上,本科,https://www.liepin.com/job/1984528205.shtml,已验证（港交所上市01810）,已验证（猎聘官方页面）,大厂直招 智驾HMI方向 适合4.5年经验,是
2026-08-10,猎聘,资深视觉设计师,滴滴,上市民企,北京,20-40k·15薪,3年以上,本科,https://www.liepin.com/job/1984243683.shtml,已验证（纽交所上市DIDIY）,已验证（猎聘官方页面）,上市大厂 视觉方向 适合4.5年经验,是
2026-08-10,猎聘,资深体验设计师-国际化出行业务,滴滴,上市民企,北京,20-40k·15薪,3年以上,本科,https://www.liepin.com/job/1984424699.shtml,已验证（纽交所上市DIDIY）,已验证（猎聘官方页面）,上市大厂 国际化方向 适合4.5年经验,是
2026-08-10,猎聘,资深体验设计师-国际化金融业务,滴滴,上市民企,北京,20-40k·15薪,3-5年,本科,https://www.liepin.com/job/1984243835.shtml,已验证（纽交所上市DIDIY）,已验证（猎聘官方页面）,上市大厂 金融方向 非常匹配4.5年经验,是
2026-08-10,猎聘,资深体验设计师-国际化外卖骑手,滴滴,上市民企,北京,20-40k·15薪,3-10年,本科,https://www.liepin.com/job/1984244671.shtml,已验证（纽交所上市DIDIY）,已验证（猎聘官方页面）,上市大厂 外卖方向,是
2026-08-10,猎聘,智能座舱体验设计师,京东,上市民企,北京,25-55k·20薪,5-10年,本科,https://www.liepin.com/job/1983504293.shtml,已验证（纳斯达克JD/港交所9618）,已验证（猎聘官方页面）,上市大厂 智能座舱 20薪,是
